Ticker,Name,Exchange,CategoryName,CategoryNumber,
AUB.AX,Austbrokers Holdings Limited,ASX,Accident & Health Insurance,431,
GLRE,"Greenlight Capital Re, Ltd.",NMS,Accident & Health Insurance,431,
SFG,StanCorp Financial Group Inc.,NYQ,Accident & Health Insurance,431,
AMIC,American Independence Corp.,NGM,Accident & Health Insurance,431,
GTS,Triple-S Management Corporation,NYQ,Accident & Health Insurance,431,
LRE.L,Lancashire Holdings Limited,LSE,Accident & Health Insurance,431,
EIG,"Employers Holdings, Inc.",NYQ,Accident & Health Insurance,431,
AIZ,Assurant Inc.,NYQ,Accident & Health Insurance,431,
NHF.AX,NIB Holdings Limited,ASX,Accident & Health Insurance,431,
PRA,ProAssurance Corporation,NYQ,Accident & Health Insurance,431,
TRUP,"Trupanion, Inc.",NYQ,Accident & Health Insurance,431,
AFL,AFLAC Inc.,NYQ,Accident & Health Insurance,431,
MIC.TO,Genworth MI Canada Inc.,TOR,Accident & Health Insurance,431,
CNO,"CNO Financial Group, Inc.",NYQ,Accident & Health Insurance,431,
UNM,Unum Group,NYQ,Accident & Health Insurance,431,
FAC,First Acceptance Corp.,NYQ,Accident & Health Insurance,431,
SCRI,"Social Reality, Inc.",PNK,Advertising Agencies,720,
DCS.MU,JC DECAUX,MUN,Advertising Agencies,720,
XM8.F,CLEAR MEDIA,FRA,Advertising Agencies,720,
XBTC,Xhibit Corp.,PNK,Advertising Agencies,720,
VISN,VisionChina Media Inc.,NMS,Advertising Agencies,720,
QXQ.AX,Q Limited,ASX,Advertising Agencies,720,
VEND,"Fresh Healthy Vending International, Inc.",OBB,Advertising Agencies,720,
DNAX,"DNA Brands, Inc.",PNK,Advertising Agencies,720,
IPG,"The Interpublic Group of Companies, Inc.",NYQ,Advertising Agencies,720,
YUME,"YuMe, Inc.",NYQ,Advertising Agencies,720,
PUB.PA,Publicis Groupe SA,PAR,Advertising Agencies,720,
MSHF,"MediaShift, Inc.",PNK,Advertising Agencies,720,
SAX.BE,STROEER MEDIA,BER,Advertising Agencies,720,
TRS.L,Tarsus Group plc,LSE,Advertising Agencies,720,
IDI,"Tiger Media, Inc.",ASE,Advertising Agencies,720,
CL2.SG,CYBERAGENT,STU,Advertising Agencies,720,
XM8.SG,CLEAR MEDIA,STU,Advertising Agencies,720,
0205.HK,SEEC MEDIA,HKG,Advertising Agencies,720,
DEN.DU,DENTSU,DUS,Advertising Agencies,720,
RVUE,"rVue Holdings, Inc.",PNK,Advertising Agencies,720,
PHRM.L,Phorm Corporation Limited,LSE,Advertising Agencies,720,
RLOC,"ReachLocal, Inc.",NMS,Advertising Agencies,720,
DCS.SG,JC DECAUX,STU,Advertising Agencies,720,
OMC,Omnicom Group Inc.,NYQ,Advertising Agencies,720,
DEC.PA,JCDecaux SA,PAR,Advertising Agencies,720,
CNET,"ChinaNet Online Holdings, Inc.",NCM,Advertising Agencies,720,
FUEL,Rocket Fuel Inc.,NMS,Advertising Agencies,720,
NMED,"New Media Insight Group, Inc.",PNK,Advertising Agencies,720,
SZMK,Sizmek Inc.,NMS,Advertising Agencies,720,
SPN.V,Snipp Interactive Inc.,VAN,Advertising Agencies,720,
KITM,Kitara Media Corp.,OBB,Advertising Agencies,720,
WPP.L,WPP plc,LSE,Advertising Agencies,720,
Y07.SI,Global Yellow Pages Limited,SES,Advertising Agencies,720,
ZCNV.PA,Zodiac Aerospace,PAR,Aerospace/Defense - Major Diversified,610,
NOC,Northrop Grumman Corporation,NYQ,Aerospace/Defense - Major Diversified,610,
MTX.DE,MTU Aero Engines AG,GER,Aerospace/Defense - Major Diversified,610,
RTN1.SG,RAYTHEON,STU,Aerospace/Defense - Major Diversified,610,
EAD.DE,Airbus Group N.V.,GER,Aerospace/Defense - Major Diversified,610,
QY6.SG,QINETIQ GROUP,STU,Aerospace/Defense - Major Diversified,610,
NTH.BE,NORTHROP GRUMMAN,BER,Aerospace/Defense - Major Diversified,610,
EAD.PA,Airbus Group N.V.,,Aerospace/Defense - Major Diversified,610,
SWS.SG,SMITH & WESSON HLDG,STU,Aerospace/Defense - Major Diversified,610,
EOS.AX,Electro Optic Systems Holdings Limited,ASX,Aerospace/Defense - Major Diversified,610,
MAL.TO,Magellan Aerospace Corp.,TOR,Aerospace/Defense - Major Diversified,610,
BA.L,BAE Systems plc,LSE,Aerospace/Defense - Major Diversified,610,
RR.L,Rolls Royce Holdings plc,LSE,Aerospace/Defense - Major Diversified,610,
UEH.F,ULTRA ELEC HLDGS,FRA,Aerospace/Defense - Major Diversified,610,
NTH.DU,NORTHROP GRUMMAN,DUS,Aerospace/Defense - Major Diversified,610,
MTX.F,MTU AERO ENGINES N,FRA,Aerospace/Defense - Major Diversified,610,
ZC.PA,Zodiac Aerospace,PAR,Aerospace/Defense - Major Diversified,610,
ZDC.BE,ZODIAC AEROSPACE,BER,Aerospace/Defense - Major Diversified,610,
QQ.L,QinetiQ Group Plc,LSE,Aerospace/Defense - Major Diversified,610,
S51.SI,Sembcorp Marine Ltd,SES,Aerospace/Defense - Major Diversified,610,
EMRI,EMRISE Corporation,PNK,Aerospace/Defense - Major Diversified,610,
EAC,Erickson Incorporated,NGM,Aerospace/Defense - Major Diversified,610,
SDZ.V,Security Devices International Inc.,VAN,Aerospace/Defense - Major Diversified,610,
QHL.AX,Quickstep Holdings Limited,ASX,Aerospace/Defense - Major Diversified,610,
TIK,Tel-Instrument Electronics Corp.,ASE,Aerospace/Defense - Major Diversified,610,
B8O.F,YANGZIJIANG SHIPBLD,FRA,Aerospace/Defense - Major Diversified,610,
SDSS,Suspect Detection Systems Inc.,PNK,Aerospace/Defense - Major Diversified,610,
ZDC.F,ZODIAC AEROSPACE,FRA,Aerospace/Defense - Major Diversified,610,
GDX.DU,GENL DYNAMICS CORP,DUS,Aerospace/Defense - Major Diversified,610,
LAT.PA,"LatÃ©coÃ¨re S.A.
",PAR,Aerospace/Defense - Major Diversified,610,
A04.SI,ASL Marine Holdings Ltd.,SES,Aerospace/Defense - Major Diversified,610,
S63.SI,Singapore Technologies Engineering Ltd,SES,Aerospace/Defense - Major Diversified,610,
SAF.PA,Safran SA,PAR,Aerospace/Defense - Major Diversified,610,
MGGT.L,Meggitt PLC,LSE,Aerospace/Defense - Major Diversified,610,
SNR.L,Senior plc,LSE,Aerospace/Defense - Major Diversified,610,
ZDC.DU,ZODIAC AEROSPACE,DUS,Aerospace/Defense - Major Diversified,610,
TXT,Textron Inc.,NYQ,Aerospace/Defense - Major Diversified,610,
BBD-B.TO,Bombardier Inc.,TOR,Aerospace/Defense - Major Diversified,610,
GY,GenCorp Inc.,NYQ,Aerospace/Defense - Major Diversified,610,
SWS.BE,SMITH & WESSON HLDG,BER,Aerospace/Defense - Major Diversified,610,
HXL.PA,Hexcel Corp.,PAR,Aerospace/Defense - Major Diversified,610,
ZDC.MU,ZODIAC AEROSPACE,MUN,Aerospace/Defense - Major Diversified,610,
MICT,"Micronet Enertec Technologies, Inc.",NCM,Aerospace/Defense - Major Diversified,610,
FTG.TO,Firan Technology Group Corporation,TOR,Aerospace/Defense - Major Diversified,610,
BS6.SI,Yangzijiang Shipbuilding (Holdings) Ltd.,SES,Aerospace/Defense - Major Diversified,610,
ERJ,Embraer SA,NYQ,Aerospace/Defense Products & Services,611,
TPAC,"Trans-Pacific Aerospace Company, Inc.",PNK,Aerospace/Defense Products & Services,611,
COL,Rockwell Collins Inc.,NYQ,Aerospace/Defense Products & Services,611,
TGI,"Triumph Group, Inc.",NYQ,Aerospace/Defense Products & Services,611,
DCO,Ducommun Inc.,NYQ,Aerospace/Defense Products & Services,611,
UTX,United Technologies Corporation,NYQ,Aerospace/Defense Products & Services,611,
ESL,Esterline Technologies Corp.,NYQ,Aerospace/Defense Products & Services,611,
TATT,"TAT Technologies, Ltd.",NGM,Aerospace/Defense Products & Services,611,
CVU,CPI Aerostructures Inc.,ASE,Aerospace/Defense Products & Services,611,
MLER,Moller International Inc.,PNK,Aerospace/Defense Products & Services,611,
AIR,AAR Corp.,NYQ,Aerospace/Defense Products & Services,611,
BEAV,B/E Aerospace Inc.,NMS,Aerospace/Defense Products & Services,611,
HII,"Huntington Ingalls Industries, Inc.",NYQ,Aerospace/Defense Products & Services,611,
SPR,"Spirit AeroSystems Holdings, Inc.",NYQ,Aerospace/Defense Products & Services,611,
XLS,Exelis Inc.,NYQ,Aerospace/Defense Products & Services,611,
TASR,TASER International Inc.,NMS,Aerospace/Defense Products & Services,611,
PIVN,"Phoenix International Ventures, Inc.",PNK,Aerospace/Defense Products & Services,611,
AIRI,Air Industries Group,ASE,Aerospace/Defense Products & Services,611,
LMIA,LMI Aerospace Inc.,NMS,Aerospace/Defense Products & Services,611,
AVAV,"AeroVironment, Inc.",NMS,Aerospace/Defense Products & Services,611,
RGR,"Sturm, Ruger & Co. Inc.",NYQ,Aerospace/Defense Products & Services,611,
HEI,HEICO Corporation,NYQ,Aerospace/Defense Products & Services,611,
SWHC,Smith & Wesson Holding Corporation,NMS,Aerospace/Defense Products & Services,611,
ATK,Alliant Techsystems Inc.,NYQ,Aerospace/Defense Products & Services,611,
GR.V,Great Atlantic Resources Corp.,VAN,Aerospace/Defense Products & Services,611,
DGI,"DigitalGlobe, Inc.",NYQ,Aerospace/Defense Products & Services,611,
OKRG,Oakridge Holdings Inc.,PNK,Aerospace/Defense Products & Services,611,
GD,General Dynamics Corporation,NYQ,Aerospace/Defense Products & Services,611,
BUKS,Butler National Corporation,PNK,Aerospace/Defense Products & Services,611,
BZC,Breeze-Eastern Corporation,ASE,Aerospace/Defense Products & Services,611,
ORB,Orbital Sciences Corp.,NYQ,Aerospace/Defense Products & Services,611,
WWD,"Woodward, Inc.",NMS,Aerospace/Defense Products & Services,611,
BEA.V,Belmont Resources Inc.,VAN,Aerospace/Defense Products & Services,611,
ATRO,Astronics Corporation,NMS,Aerospace/Defense Products & Services,611,
ISSC,Innovative Solutions & Support Inc.,NMS,Aerospace/Defense Products & Services,611,
CAE,CAE Inc.,NYQ,Aerospace/Defense Products & Services,611,
ASTC,Astrotech Corp.,NCM,Aerospace/Defense Products & Services,611,
BA,The Boeing Company,NYQ,Aerospace/Defense Products & Services,611,
TDG,TransDigm Group Incorporated,NYQ,Aerospace/Defense Products & Services,611,
ACFN,"Acorn Energy, Inc.",NGM,Aerospace/Defense Products & Services,611,
MOG-A,Moog Inc.,NYQ,Aerospace/Defense Products & Services,611,
HEI-A,HEICO Corporation,NYQ,Aerospace/Defense Products & Services,611,
LMT,Lockheed Martin Corporation,NYQ,Aerospace/Defense Products & Services,611,
HXL,Hexcel Corp.,NYQ,Aerospace/Defense Products & Services,611,
RTN,Raytheon Company,NYQ,Aerospace/Defense Products & Services,611,
KAMN,Kaman Corporation,NYQ,Aerospace/Defense Products & Services,611,
LLL,L-3 Communications Holdings Inc.,NYQ,Aerospace/Defense Products & Services,611,
NPK,National Presto Industries Inc.,NYQ,Aerospace/Defense Products & Services,611,
CERE,"Ceres, Inc.",NCM,Agricultural Chemicals,112,
MAA.TO,MagIndustries Corp.,TOR,Agricultural Chemicals,112,
MOS,The Mosaic Company,NYQ,Agricultural Chemicals,112,
MBII,"Marrone Bio Innovations, Inc.",NGM,Agricultural Chemicals,112,
SMG,The Scotts Miracle-Gro Company,NYQ,Agricultural Chemicals,112,
AVD,American Vanguard Corp.,NYQ,Agricultural Chemicals,112,
POT.TO,"Potash Corp. of Saskatchewan, Inc.",TOR,Agricultural Chemicals,112,
MON,Monsanto Company,NYQ,Agricultural Chemicals,112,
RCF.NS,Rashtriya Chemicals And Fertilizers Limited,NSI,Agricultural Chemicals,112,
AGU,Agrium Inc.,NYQ,Agricultural Chemicals,112,
SYT,Syngenta AG,NYQ,Agricultural Chemicals,112,
CF,"CF Industries Holdings, Inc.",NYQ,Agricultural Chemicals,112,
FF5.MU,CHINA XLX FERTILISE,MUN,Agricultural Chemicals,112,
XCLIND.BO,Excel Industries Limited,,Agricultural Chemicals,112,
NOEC,New Oriental Energy & Chemical Corp,PNK,Agricultural Chemicals,112,
1073.HK,CHINA AGROTECH,HKG,Agricultural Chemicals,112,
POC.MU,POTASH SASKATCHEWAN,MUN,Agricultural Chemicals,112,
WCQ1.F,SINOFERT HOLDINGS,FRA,Agricultural Chemicals,112,
FF5.BE,CHINA XLX FERTILISE,BER,Agricultural Chemicals,112,
MEGH.NS,Meghmani Organics Limited,NSI,Agricultural Chemicals,112,
ST.TO,Stonegate Agricom Ltd.,TOR,Agricultural Chemicals,112,
XCLCROP.BO,Excel Crop Care Limited,,Agricultural Chemicals,112,
POT,"Potash Corp. of Saskatchewan, Inc.",NYQ,Agricultural Chemicals,112,
NUF.AX,Nufarm Limited,ASX,Agricultural Chemicals,112,
CVAT,"Cavitation Technologies, Inc.",PNK,Agricultural Chemicals,112,
POTN.MX,"Potash Corp. of Saskatchewan, Inc.",MEX,Agricultural Chemicals,112,
GRVO.PA,Graines Voltz,PAR,Agricultural Chemicals,112,
0809.HK,GLOBAL BIO-CHEM,HKG,Agricultural Chemicals,112,
RNF,"Rentech Nitrogen Partners, L.P.",NYQ,Agricultural Chemicals,112,
IPI,"Intrepid Potash, Inc.",NYQ,Agricultural Chemicals,112,
DD,E. I. du Pont de Nemours and Company,NYQ,Agricultural Chemicals,112,
X6S.SG,STONEGATE AGRI,STU,Agricultural Chemicals,112,
IPL.AX,Incitec Pivot Limited,ASX,Agricultural Chemicals,112,
FF5.SG,CHINA XLX FERTILISE,STU,Agricultural Chemicals,112,
AGU.TO,Agrium Inc.,TOR,Agricultural Chemicals,112,
FF5.F,CHINA XLX FERTILISE,FRA,Agricultural Chemicals,112,
ICP.TO,IC Potash Corp.,TOR,Agricultural Chemicals,112,
KRN.TO,Karnalyte Resources Inc.,TOR,Agricultural Chemicals,112,
X6S.F,STONEGATE AGRI,FRA,Agricultural Chemicals,112,
GROG,"GroGenesis, Inc.",OBB,Agricultural Chemicals,112,
E6R.F,DUSOLO FERTILIZERS,FRA,Agricultural Chemicals,112,
NFL.BO,National Fertilizers Ltd.,BSE,Agricultural Chemicals,112,
GOP.V,Gourmet Ocean Products Inc.,VAN,Agricultural Chemicals,112,
UAN,"CVR Partners, LP",NYQ,Agricultural Chemicals,112,
YONGY,Yongnam Holdings Limited,PNK,Agricultural Chemicals,112,
MGO.TO,Migao Corporation,TOR,Agricultural Chemicals,112,
MBC.TO,MBAC Fertilizer Corp,TOR,Agricultural Chemicals,112,
TNH,"Terra Nitrogen Company, L.P.",NYQ,Agricultural Chemicals,112,
X6S.MU,STONEGATE AGRI,MUN,Agricultural Chemicals,112,
CGA,"China Green Agriculture, Inc.",NYQ,Agricultural Chemicals,112,
JLWT,Janel World Trade Ltd.,PNK,Air Delivery & Freight Services,773,
EXPD,Expeditors International of Washington Inc.,NMS,Air Delivery & Freight Services,773,
JB1.MU,J.B.HUNT TRANSP,MUN,Air Delivery & Freight Services,773,
UTW1.BE,UTI WORLDWIDE,BER,Air Delivery & Freight Services,773,
EW1.MU,EXPEDIT INTL WASH,MUN,Air Delivery & Freight Services,773,
SINO,"Sino-Global Shipping America, Ltd.",NCM,Air Delivery & Freight Services,773,
AIRT,Air T Inc.,NCM,Air Delivery & Freight Services,773,
FWRD,Forward Air Corp.,NMS,Air Delivery & Freight Services,773,
GPW.V,Grand Power Logistics Group Inc.,VAN,Air Delivery & Freight Services,773,
GND.PA,Norbert Dentressangle S.A.,PAR,Air Delivery & Freight Services,773,
NS8U.SI,Hutchison Port Holdings Trust,SES,Air Delivery & Freight Services,773,
RRTS,"Roadrunner Transportation Systems, Inc.",NYQ,Air Delivery & Freight Services,773,
WNL.F,WILH. WILHELMSEN,FRA,Air Delivery & Freight Services,773,
NRINTER.BO,NR International Ltd.,BSE,Air Delivery & Freight Services,773,
CGOA.SG,MODUSLINK GLBL SOLS,STU,Air Delivery & Freight Services,773,
CNR,China Metro-Rural Holdings Limited,ASE,Air Delivery & Freight Services,773,
TOL.AX,Toll Holdings Limited,ASX,Air Delivery & Freight Services,773,
XUN.SG,SHUN TAK HLDGS,STU,Air Delivery & Freight Services,773,
P01.SI,Poh Tiong Choon Logistics Limited,SES,Air Delivery & Freight Services,773,
PVI.V,Pro trans Ventures Inc.,VAN,Air Delivery & Freight Services,773,
XJL.F,CHINA MET-RURAL HLD,FRA,Air Delivery & Freight Services,773,
FRE.NZ,Freightways Limited,NZE,Air Delivery & Freight Services,773,
K11.SI,Keppel Telecommunications & Transportation Ltd,SES,Air Delivery & Freight Services,773,
DPW.DE,Deutsche Post AG,GER,Air Delivery & Freight Services,773,
KPL.F,KEPPEL TEL & TRANSP,FRA,Air Delivery & Freight Services,773,
KSC.AX,K & S Corporation Limited,ASX,Air Delivery & Freight Services,773,
MLNK,"ModusLink Global Solutions, Inc.",NMS,Air Delivery & Freight Services,773,
MFT.NZ,Mainfreight Limited,NZE,Air Delivery & Freight Services,773,
JB1.BE,J.B.HUNT TRANSP,BER,Air Delivery & Freight Services,773,
QUB.AX,Qube Holdings Limited,ASX,Air Delivery & Freight Services,773,
UPS,"United Parcel Service, Inc.",NYQ,Air Delivery & Freight Services,773,
JB1.F,J.B.HUNT TRANSP,FRA,Air Delivery & Freight Services,773,
RLGT,"Radiant Logistics, Inc.",ASE,Air Delivery & Freight Services,773,
XPO,"XPO Logistics, Inc.",NYQ,Air Delivery & Freight Services,773,
HUBG,Hub Group Inc.,NMS,Air Delivery & Freight Services,773,
ATSG,"Air Transport Services Group, Inc.",NMS,Air Delivery & Freight Services,773,
CHRW,CH Robinson Worldwide Inc.,NMS,Air Delivery & Freight Services,773,
UTIW,UTi Worldwide Inc.,NMS,Air Delivery & Freight Services,773,
XUN.F,SHUN TAK HLDGS,FRA,Air Delivery & Freight Services,773,
WGI.V,Wheels Group Inc.,VAN,Air Delivery & Freight Services,773,
RMG.L,Royal Mail plc,LSE,Air Delivery & Freight Services,773,
CONCOR.NS,Container Corporation of India Ltd.,NSI,Air Delivery & Freight Services,773,
FDX,FedEx Corporation,NYQ,Air Delivery & Freight Services,773,
0494.HK,Li & Fung Limited,HKG,Air Delivery & Freight Services,773,
XUN.MU,SHUN TAK HLDGS,MUN,Air Delivery & Freight Services,773,
0885.HK,FOREFRONT GROUP,HKG,Air Delivery & Freight Services,773,
MIC,Macquarie Infrastructure Company LLC,NYQ,"Air Services, Other",772,
KLH.F,COPENHAGEN AIRPORT,FRA,"Air Services, Other",772,
JAGSONAI.BO,Jagson Airlines Ltd.,BSE,"Air Services, Other",772,
FLW.DU,FLUGHAFEN WIEN,DUS,"Air Services, Other",772,
W7L.SG,ADP,STU,"Air Services, Other",772,
W1J.SG,SATS,STU,"Air Services, Other",772,
ASR,"Grupo Aeroportuario del Sureste, SAB de CV",NYQ,"Air Services, Other",772,
UZA.BE,FLUGHAFEN ZUERICH N,BER,"Air Services, Other",772,
BBA.L,BBA Aviation plc,LSE,"Air Services, Other",772,
UZA.F,FLUGHAFEN ZUERICH N,FRA,"Air Services, Other",772,
CJT.TO,Cargojet Inc.,TOR,"Air Services, Other",772,
SKAS,"Saker Aviation Services, Inc.",PNK,"Air Services, Other",772,
OMAB.MX,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",MEX,"Air Services, Other",772,
TX3.BE,AIRPORTS OF THAI-F-,BER,"Air Services, Other",772,
W7L.F,ADP,FRA,"Air Services, Other",772,
MLAAE.PA,Caire,PAR,"Air Services, Other",772,
UZA.SG,FLUGHAFEN ZUERICH N,STU,"Air Services, Other",772,
AAWW,"Atlas Air Worldwide Holdings, Inc.",NMS,"Air Services, Other",772,
PAC,Grupo Aeroportuario del Pacifico S.A.B. de CV,NYQ,"Air Services, Other",772,
PHII,PHI Inc.,NMS,"Air Services, Other",772,
FLW.F,FLUGHAFEN WIEN,FRA,"Air Services, Other",772,
AER,AerCap Holdings N.V.,NYQ,"Air Services, Other",772,
PJT.V,Partner Jet Corp.,VAN,"Air Services, Other",772,
KFA.NS,Kingfisher Airlines Limited,NSI,"Air Services, Other",772,
AIRM,Air Methods Corp.,NMS,"Air Services, Other",772,
AIR.NZ,Air New Zealand Limited,NZE,"Air Services, Other",772,
ACH,Aluminum Corporation Of China Limited,NYQ,Aluminum,132,
ORT.TO,Orbite Aluminae Inc,TOR,Aluminum,132,
WMC.MU,ALUMINA SP ADR,MUN,Aluminum,132,
WMC.SG,ALUMINA SP ADR,STU,Aluminum,132,
KLU1.SG,KAISER ALUM,STU,Aluminum,132,
K3HD.SI,Aluminum Corporation Of China Limited,SES,Aluminum,132,
0CZ.F,CHINA ZHONGWANG,FRA,Aluminum,132,
NOH1.DE,Norsk Hydro ASA,GER,Aluminum,132,
R6L.SG,UNITED COMP RUSAL,STU,Aluminum,132,
4H6.BE,HULAMIN,BER,Aluminum,132,
NOR,Noranda Aluminum Holding Corp.,NYQ,Aluminum,132,
5EN.SI,Midas Holdings Limited,SES,Aluminum,132,
ACHN.MX,Aluminum Corporation Of China Limited,MEX,Aluminum,132,
1333.HK,CHINA ZHONGWANG,HKG,Aluminum,132,
0486.HK,RUSAL,HKG,Aluminum,132,
HINDALCO.NS,Hindalco Industries Ltd.,NSI,Aluminum,132,
HINDALCO.BO,Hindalco Industries Ltd.,BSE,Aluminum,132,
AA,Alcoa Inc.,NYQ,Aluminum,132,
MN5.SI,XinRen Aluminum Holdings Limited,SES,Aluminum,132,
CENX,Century Aluminum Co.,NMS,Aluminum,132,
RUSAL.PA,United Company RUSAL Plc,PAR,Aluminum,132,
4H6.F,HULAMIN,FRA,Aluminum,132,
NATIONALU.NS,National Aluminium Co. Ltd.,NSI,Aluminum,132,
KALU,Kaiser Aluminum Corporation,NMS,Aluminum,132,
0647.HK,JOYCE BOUTIQUE,HKG,Apparel Stores,730,
NXT.L,Next Plc,LSE,Apparel Stores,730,
CHS,Chico's FAS Inc.,NYQ,Apparel Stores,730,
GPS.V,BSM Technologies Inc.,VAN,Apparel Stores,730,
GCO,Genesco Inc.,NYQ,Apparel Stores,730,
CBK,Christopher & Banks Corporation,NYQ,Apparel Stores,730,
MW,"The Men's Wearhouse, Inc.",NYQ,Apparel Stores,730,
VCH.MU,CHARLES VOEGELE,MUN,Apparel Stores,730,
SFH.AX,Specialty Fashion Group Limited,ASX,Apparel Stores,730,
GES,Guess' Inc.,NYQ,Apparel Stores,730,
URBN,Urban Outfitters Inc.,NMS,Apparel Stores,730,
NXG.SG,NEXT,STU,Apparel Stores,730,
RET-A.TO,Reitmans Canada Ltd.,TOR,Apparel Stores,730,
O08.SI,Ossia International Limited,SES,Apparel Stores,730,
DSW,DSW Inc.,NYQ,Apparel Stores,730,
IXD.SG,INDITEX,STU,Apparel Stores,730,
1368.HK,XTEP INT'L,HKG,Apparel Stores,730,
CATO,The Cato Corporation,NYQ,Apparel Stores,730,
ANN,ANN INC.,NYQ,Apparel Stores,730,
PLCE,"The Children's Place, Inc.",NMS,Apparel Stores,730,
AEO,"American Eagle Outfitters, Inc.",NYQ,Apparel Stores,730,
GPS,"The Gap, Inc.",NYQ,Apparel Stores,730,
CHKE,Cherokee Inc.,NMS,Apparel Stores,730,
LB,"L Brands, Inc.",NYQ,Apparel Stores,730,
NWY,New York & Company Inc.,NYQ,Apparel Stores,730,
SMRT,Stein Mart Inc.,NMS,Apparel Stores,730,
ARO,"Aéropostale, Inc.
",NYQ,Apparel Stores,730,
0238.HK,EVERGREEN INT,HKG,Apparel Stores,730,
4QI.F,XTEP INTL HLDGS,FRA,Apparel Stores,730,
ULC.DE,UNITEDLABELS Aktiengesellschaft,GER,Apparel Stores,730,
RSO.SG,ROSS STORES,STU,Apparel Stores,730,
GMAN,"Gordmans Stores, Inc.",NMS,Apparel Stores,730,
BEBE,"Bebe Stores, Inc.",NMS,Apparel Stores,730,
ASNA,Ascena Retail Group Inc.,NMS,Apparel Stores,730,
IXD.MU,INDITEX,MUN,Apparel Stores,730,
WTSL,"The Wet Seal, Inc.",NMS,Apparel Stores,730,
JYE.F,JOYCE BOUTIQUE,FRA,Apparel Stores,730,
KMD.AX,Kathmandu Holdings Limited,ASX,Apparel Stores,730,
YC8.F,CHICO'S FAS,FRA,Apparel Stores,730,
BKE,"The Buckle, Inc.",NYQ,Apparel Stores,730,
DXLG,"Destination XL Group, Inc.",NMS,Apparel Stores,730,
EXPR,Express Inc.,NYQ,Apparel Stores,730,
ROST,Ross Stores Inc.,NMS,Apparel Stores,730,
SSI,Stage Stores Inc.,NYQ,Apparel Stores,730,
ANF,Abercrombie & Fitch Co.,NYQ,Apparel Stores,730,
PSUN,Pacific Sunwear of California Inc.,NMS,Apparel Stores,730,
SCVL,Shoe Carnival Inc.,NMS,Apparel Stores,730,
FRAN,Francesca's Holdings Corporation,NMS,Apparel Stores,730,
DEST,Destination Maternity Corporation,NMS,Apparel Stores,730,
TLYS,"Tilly's, Inc.",NYQ,Apparel Stores,730,
BODY,Body Central Corp.,PNK,Apparel Stores,730,
TTI.F,TOM TAILOR HLDG N,FRA,Apparel Stores,730,
JWN,Nordstrom Inc.,NYQ,Apparel Stores,730,
CTRN,"Citi Trends, Inc.",NMS,Apparel Stores,730,
LUX,Luxottica Group SpA,NYQ,Apparel Stores,730,
IXD.DE,Industria de Diseno Textil SA,GER,Apparel Stores,730,
CTU-A.TO,Le Chateau Inc.,TOR,Apparel Stores,730,
CACH,Cache Inc.,NMS,Apparel Stores,730,
IRBT,iRobot Corporation,NMS,Appliances,310,
WHR,Whirlpool Corp.,NYQ,Appliances,310,
AVRN,Avra Inc.,OBB,Appliances,310,
IMMR,Immersion Corporation,NMS,Application Software,821,
EXNT,Enxnet Inc.,PNK,Application Software,821,
PWEB,"Pacific WebWorks, Inc.",OBB,Application Software,821,
RALY,Rally Software Development Corp.,NYQ,Application Software,821,
QADA,QAD Inc.,NMS,Application Software,821,
MATR,Mattersight Corporation,NGM,Application Software,821,
BNFT,"Benefitfocus, Inc.",NGM,Application Software,821,
DWRE,"Demandware, Inc.",NYQ,Application Software,821,
SQI,"SciQuest, Inc.",NMS,Application Software,821,
CRM,"salesforce.com, inc.",NYQ,Application Software,821,
MBLY,Mobileye N.V.,NYQ,Application Software,821,
CHYR,ChyronHego Corp.,NGM,Application Software,821,
FALC,Falconstor Software Inc.,NGM,Application Software,821,
FIVN,"Five9, Inc.",NGM,Application Software,821,
VPIG,"Virtual Piggy, Inc",OBB,Application Software,821,
OPWR,"OPOWER, Inc.",NYQ,Application Software,821,
CDK,"CDK Global, Inc.",NMS,Application Software,821,
SSNT,"SilverSun Technologies, Inc.",OBB,Application Software,821,
BIRT,Actuate Corporation,NMS,Application Software,821,
TXTR,Textura Corporation,NYQ,Application Software,821,
MEDA,Media Analytics Corporation,PNK,Application Software,821,
CMCM,Cheetah Mobile Inc.,NYQ,Application Software,821,
RP,"RealPage, Inc.",NMS,Application Software,821,
BSQR,BSQUARE Corp.,NGM,Application Software,821,
DTVI,"Dot VN, Inc. (DE)",PNK,Application Software,821,
JIVE,"Jive Software, Inc.",NMS,Application Software,821,
PRO,"PROS Holdings, Inc.",NYQ,Application Software,821,
FTNT,Fortinet Inc.,NMS,Application Software,821,
UPIP,"Unwired Planet, Inc.",NMS,Application Software,821,
FXIT,Forex International Trading Corp.,PNK,Application Software,821,
DATA,"Tableau Software, Inc.",NYQ,Application Software,821,
IMPV,Imperva Inc.,NYQ,Application Software,821,
ORCL,Oracle Corporation,NYQ,Application Software,821,
TISA,Top Image Systems Ltd.,NCM,Application Software,821,
BGNN,"B Green Innovations, Inc.",PNK,Application Software,821,
SOFO,"Sonic Foundry, Inc.",NCM,Application Software,821,
ELLI,"Ellie Mae, Inc.",NYQ,Application Software,821,
TUBE,"TubeMogul, Inc.",NMS,Application Software,821,
XFCH,"X-Factor Communications Holdings, Inc.",PNK,Application Software,821,
